order_id,customer_id,delivery_partner_id,product_id,feedback_id,order_datetime,area,customer_name,customer_segment,product_name,category,price,quantity,value,payment_method,promised_time,delivery_time_minutes,actual_time,reasons_if_delayed,rating,feedback_category,feedback_text,feedback_segment,emoji,star,img,Date
1961864118,30065862,63230,642612.0,2234710,"2024-07-17 08:34:01",Allahabad,"Urishilla Hegde",Regular,"Pet Treats","Pet Care",517.03,3.0,1551.09,Cash,"2024-07-17 08:52:01",-5,"2024-07-17 08:47:01",NULL,4,Delivery,"It was okay, nothing special.",Neutral,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/FRMdmQjx/pet-food.png,2024-07-17
1549769649,9573071,14983,378676.0,5450964,"2024-05-28 13:14:29",Thrissur,"Ranveer Mahal",New,"Orange Juice","Cold Drinks & Juices",881.42,1.0,881.42,Cash,"2024-05-28 13:25:29",2,"2024-05-28 13:27:29",Traffic,3,"App Experience","The order was incorrect.",Negative,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/kXrKPWsd/softdrink.png,2024-05-28
9185164487,45477575,39859,741341.0,482108,"2024-09-23 13:07:12",Vellore,"Aarna Bawa",Inactive,Eggs,"Dairy & Breakfast",923.84,2.0,1847.68,UPI,"2024-09-23 13:25:12",4,"2024-09-23 13:29:12",Traffic,3,"App Experience","It was okay, nothing special.",Neutral,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/X7wFjX1B/food.png,2024-09-23
9644738826,88067569,61497,561860.0,4823104,"2023-11-24 16:16:56",Gaya,"Aayush Sengupta",Premium,"Orange Juice","Cold Drinks & Juices",874.78,1.0,874.78,Card,"2023-11-24 16:34:56",-1,"2023-11-24 16:33:56",NULL,4,"App Experience","The product met my expectations.",Neutral,https://i.postimg.cc/X7XSGhNR/smile.png,⭐⭐⭐⭐,https://i.postimg.cc/kXrKPWsd/softdrink.png,2023-11-24
5427684290,83298567,84315,602241.0,3537464,"2023-11-20 05:00:39",Asansol,"Vansha Kuruvilla",Premium,Nuts,"Snacks & Munchies",976.55,2.0,1953.1,Cash,"2023-11-20 05:17:39",1,"2023-11-20 05:18:39",Traffic,3,Delivery,"Product was damaged during delivery.",Negative,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/CKP7Ydrp/snacks.png,2023-11-20
3265154092,43367112,554,681063.0,4089724,"2023-03-18 16:29:51",Gopalpur,"Chasmum Ramesh",New,"Mango Drink","Cold Drinks & Juices",321.28,1.0,321.28,UPI,"2023-03-18 16:49:51",-1,"2023-03-18 16:48:51",NULL,2,"Customer Service","Product was damaged during delivery.",Negative,https://i.postimg.cc/zGbrMQ9C/sad.png,⭐⭐,https://i.postimg.cc/kXrKPWsd/softdrink.png,2023-03-18
6568151549,88866835,67714,500739.0,2259308,"2024-03-31 06:26:48","South Dumdum","Osha Dora",Premium,Bread,"Dairy & Breakfast",359.98,2.0,719.96,Cash,"2024-03-31 06:37:48",2,"2024-03-31 06:39:48",Traffic,2,"App Experience","I had a bad experience.",Negative,https://i.postimg.cc/zGbrMQ9C/sad.png,⭐⭐,https://i.postimg.cc/X7wFjX1B/food.png,2024-03-31
6006693867,24496983,91362,490939.0,7380970,"2023-07-13 23:49:36",Kamarhati,"Vasana Sen",Regular,Lotion,"Personal Care",80.25,1.0,80.25,Card,"2023-07-14 00:02:36",3,"2023-07-14 00:05:36",Traffic,3,Delivery,"Product was damaged during delivery.",Negative,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/hvmm7GSw/personal-care.png,2023-07-13
374186990,52215833,77203,760828.0,2257242,"2023-08-09 01:17:30",Sirsa,"Lipika Parmer",Regular,"Pet Treats","Pet Care",563.45,2.0,1126.9,Wallet,"2023-08-09 01:37:30",7,"2023-08-09 01:44:30",Traffic,3,"App Experience","The product met my expectations.",Neutral,https://i.postimg.cc/d02zccny/confused.png,⭐⭐⭐,https://i.postimg.cc/FRMdmQjx/pet-food.png,2023-08-09
4455336265,43431724,64046,753354.0,1837573,"2023-08-30 19:37:06",Rohtak,"Jack Kalita",New,Shampoo,"Personal Care",423.56,3.0,1270.68,UPI,"2023-08-30 19:47:06",-2,"2023-08-30 19:45:06",NULL,2,Delivery,"Taste was not as expected.",Negative,https://i.postimg.cc/zGbrMQ9C/sad.png,⭐⭐,https://i.postimg.cc/hvmm7GSw/personal-care.png,2023-08-30
